transaction_amount,transaction_time,transaction_type,location_distance_km,is_international,past_fraud_history,fraud
373.85,20,ATM,220.98,0,4,0
82.51,9,ATM,322.26,1,2,1
1182.19,22,ATM,299.85,0,0,0
1355.45,19,ATM,175.02,0,3,0
34.16,16,ATM,222.03,0,0,0
1024.67,10,POS,32.16,0,3,0
453.77,1,ATM,397.85,0,3,0
1290.7,3,Online,120.4,0,3,0
349.56,0,POS,230.26,0,0,0
1382.18,14,Online,240.31,0,5,1
774.08,12,ATM,280.36,0,2,0
1873.52,7,Online,408.94,0,5,1
275.9,3,POS,345.94,0,1,0
682.79,9,POS,331.53,0,1,0
227.83,18,POS,263.37,0,5,0
1849.46,17,Online,47.98,0,2,0
1754.8,4,POS,201.0,1,2,0
516.63,18,Online,478.66,0,3,0
1320.31,22,ATM,497.77,0,3,0
1634.63,21,ATM,365.25,0,1,0
1110.85,15,Online,113.76,0,3,0
1059.77,0,POS,50.95,0,3,1
484.46,11,Online,207.38,0,2,0
187.11,23,Online,428.29,0,0,0
1794.53,1,Online,360.93,0,5,0
1800.94,20,ATM,441.95,0,4,1
1266.57,7,Online,307.89,0,4,0
678.72,17,ATM,65.16,0,3,0
699.07,15,Online,57.4,0,3,0
1452.19,4,ATM,24.0,0,5,1
1794.32,21,Online,283.54,0,4,0
1774.29,12,Online,121.44,0,2,1
1559.97,18,POS,367.19,0,4,1
1284.42,2,POS,343.12,0,4,0
169.2,7,Online,159.06,0,4,0
324.1,11,Online,88.4,0,3,0
1797.21,1,Online,51.2,0,3,0
1213.25,10,Online,368.66,0,5,1
19.38,11,POS,225.22,0,4,0
203.84,17,ATM,161.76,1,3,0
1327.34,12,Online,428.33,0,5,0
11.12,4,POS,296.81,0,4,0
322.46,21,Online,259.0,0,2,0
1097.92,11,Online,371.69,0,3,0
1384.1,1,ATM,407.79,0,0,0
1304.27,4,Online,343.04,0,5,0
449.31,6,Online,220.0,0,3,1
1424.65,23,ATM,189.65,0,2,0
475.26,11,ATM,385.83,0,2,0
651.47,15,ATM,258.95,0,3,1
1493.24,22,ATM,352.19,0,1,0
1299.62,7,POS,445.2,0,5,0
1698.6,8,POS,457.95,0,4,0
1315.57,14,POS,138.86,1,4,0
1137.05,4,Online,93.94,0,2,0
188.26,12,ATM,130.64,1,3,1
736.06,4,ATM,375.69,0,1,0
531.14,10,POS,185.03,0,5,0
488.74,9,Online,86.69,0,0,0
1946.05,19,Online,49.19,0,4,1
786.8,12,Online,163.66,0,5,0
1784.2,8,POS,68.07,1,5,0
1262.65,20,Online,78.19,0,1,0
1589.83,13,Online,341.94,0,5,0
1005.77,17,Online,9.87,0,4,0
1154.23,14,ATM,58.78,0,3,0
985.54,9,POS,422.18,0,4,0
391.29,23,ATM,422.46,0,0,0
1445.18,6,ATM,164.62,0,3,1
562.26,7,POS,43.98,0,2,0
49.61,2,ATM,352.49,0,1,0
1291.3,14,Online,180.07,0,4,1
355.04,15,Online,22.73,0,3,0
1880.98,3,Online,78.91,0,5,1
1907.9,20,Online,68.61,0,3,0
1829.81,5,POS,294.56,0,4,0
740.95,0,ATM,449.06,0,2,0
31.9,3,ATM,396.54,0,4,0
1856.71,10,Online,273.26,0,2,0
856.94,11,Online,211.08,0,5,0
1933.34,4,ATM,309.34,0,4,0
1927.28,22,POS,221.91,0,3,0
1706.17,20,ATM,123.05,1,0,1
589.6,15,Online,339.6,0,0,0
770.81,12,Online,436.62,0,5,0
1702.42,12,POS,186.44,0,3,1
634.53,16,ATM,420.77,0,0,0
339.82,6,POS,215.54,0,5,0
1114.05,7,POS,200.67,0,2,0
1872.37,12,Online,14.16,0,3,1
1392.36,22,ATM,347.64,0,2,0
1140.55,15,Online,403.75,0,3,0
195.26,3,ATM,331.78,0,2,0
1230.4,7,Online,75.68,0,2,0
1980.12,15,Online,51.65,0,0,0
281.03,20,ATM,286.43,0,3,0
1037.14,9,ATM,200.76,0,4,0
1754.87,11,Online,214.55,0,0,0
1481.8,11,ATM,483.9,0,2,0
1394.33,4,Online,361.96,0,2,0
1405.27,15,ATM,205.89,0,4,0
719.62,0,Online,9.55,0,4,0
587.89,8,Online,17.05,0,2,0
1618.91,11,Online,342.4,0,4,1
1620.42,4,POS,418.87,0,1,1
1734.28,21,ATM,353.85,0,0,0
1826.57,19,Online,202.94,0,3,1
1023.17,21,POS,15.57,0,4,1
1003.53,23,Online,483.7,0,4,1
1596.79,2,POS,493.17,1,1,0
1300.28,4,Online,274.68,0,3,1
1404.23,1,Online,35.34,0,1,0
1591.79,13,POS,270.49,0,3,0
1780.12,1,POS,446.17,0,0,1
676.65,12,ATM,339.99,0,4,0
751.79,6,ATM,359.99,0,0,0
188.87,9,POS,42.48,0,3,0
1156.98,12,ATM,53.26,0,4,0
72.85,15,POS,63.67,0,1,0
931.73,13,ATM,452.19,0,2,0
1085.75,10,Online,262.92,0,1,0
573.8,9,ATM,395.79,0,2,0
1182.08,5,Online,57.65,0,1,0
61.97,3,Online,463.82,0,3,0
75.66,20,ATM,410.57,0,0,0
1645.38,0,POS,112.38,1,2,0
721.02,6,Online,437.09,0,3,0
254.99,23,Online,131.72,0,0,0
1044.96,8,ATM,102.67,0,0,0
1540.22,7,POS,132.12,0,4,0
432.43,4,POS,454.98,0,4,1
1246.16,18,ATM,457.8,0,4,0
171.61,9,POS,164.5,0,2,0
104.31,10,ATM,352.72,0,2,0
1063.18,14,ATM,337.87,0,0,0
1081.73,5,ATM,403.28,0,2,0
1275.22,14,Online,148.25,0,0,0
1452.46,4,Online,255.07,0,3,0
1951.73,18,Online,333.84,0,1,0
1033.08,21,ATM,13.13,0,0,0
646.59,18,Online,188.37,0,0,0
1590.58,9,Online,347.94,0,3,1
542.39,11,Online,126.3,0,4,0
878.5,21,ATM,478.85,0,5,0
157.83,3,ATM,15.08,0,4,0
51.68,17,ATM,479.04,0,4,0
1925.33,15,Online,108.38,0,0,0
1672.12,7,POS,24.41,0,0,0
1392.25,3,Online,146.24,0,2,0
818.5,22,Online,393.14,0,2,0
347.42,11,ATM,376.22,0,1,0
313.72,1,ATM,104.42,0,1,0
501.24,3,Online,98.4,0,5,1
1098.9,4,Online,321.29,0,2,0
1429.48,2,POS,229.04,0,0,0
1320.73,8,POS,396.14,0,3,0
560.59,20,ATM,12.07,0,2,0
1909.78,17,POS,305.21,0,0,0
1476.06,10,POS,365.34,0,2,0
1109.15,2,ATM,496.69,0,4,0
1223.83,22,POS,339.39,0,2,0
839.78,1,Online,115.92,0,5,0
496.21,8,POS,54.09,0,4,0
712.59,13,ATM,320.46,0,0,0
1515.93,3,Online,261.59,1,4,1
29.77,8,POS,449.57,0,2,0
233.03,12,Online,363.3,0,4,1
92.96,17,Online,254.87,0,5,0
82.42,14,POS,201.79,0,3,0
1711.07,9,POS,202.19,0,4,1
1407.61,15,ATM,113.15,1,5,0
948.87,11,ATM,8.66,0,4,0
196.57,19,Online,287.46,0,1,0
983.74,4,ATM,106.21,0,3,0
947.47,1,Online,104.16,0,0,0
347.23,9,Online,62.69,0,5,0
868.27,0,ATM,94.8,0,4,1
797.61,6,ATM,15.89,0,3,0
1232.08,16,ATM,337.12,0,0,0
1270.55,15,POS,200.7,1,3,1
91.56,23,Online,280.76,0,5,0
749.85,2,Online,318.48,0,1,0
1252.09,13,Online,486.24,0,5,0
1006.77,9,ATM,34.13,0,5,0
1713.12,21,ATM,208.96,0,0,0
1317.73,6,ATM,122.95,0,0,0
326.71,16,ATM,238.36,0,4,0
142.07,5,ATM,460.24,0,2,0
1285.2,22,POS,361.99,0,5,0
54.0,21,ATM,330.97,0,0,0
1171.97,3,Online,220.62,0,5,1
1880.52,16,ATM,335.56,0,5,1
1151.37,8,Online,16.19,0,0,0
776.95,3,ATM,293.12,0,1,0
1286.93,6,ATM,276.89,1,1,0
917.05,22,Online,173.32,0,5,0
1091.69,1,Online,100.76,0,1,0
1882.99,16,Online,403.78,0,5,0
772.82,23,Online,26.93,0,4,0
1922.42,7,POS,34.84,0,0,0
1810.8,22,Online,220.26,0,5,0
392.39,14,ATM,126.28,0,1,0
139.65,14,ATM,372.73,0,1,0
202.46,7,POS,317.1,1,3,0
37.43,15,Online,386.27,0,3,0
189.79,18,ATM,162.34,0,1,0
1366.33,10,POS,370.26,0,4,0
143.31,1,ATM,431.15,0,2,0
638.63,22,POS,172.64,0,5,0
1689.91,23,POS,169.95,0,3,0
47.52,16,Online,449.98,0,5,0
1629.12,15,POS,24.9,0,3,0
564.43,14,ATM,175.09,0,0,0
237.21,12,ATM,59.34,0,0,0
1393.78,14,Online,14.49,0,1,0
1258.26,3,Online,56.43,0,0,0
1755.07,15,POS,215.62,0,0,0
1470.41,11,Online,343.48,0,2,0
1607.16,3,ATM,144.64,0,4,0
564.79,2,ATM,424.84,0,1,0
355.7,21,Online,218.81,0,2,0
1501.48,16,Online,484.11,0,1,0
1613.86,21,Online,477.08,0,4,1
1981.02,17,POS,386.64,0,1,0
825.82,17,POS,466.2,0,5,1
744.66,22,ATM,353.55,0,5,0
1553.05,16,POS,447.79,0,5,0
682.27,11,POS,118.24,0,0,0
1861.58,22,POS,172.71,0,4,1
1716.97,20,POS,376.47,0,2,0
858.56,23,ATM,212.28,0,2,0
1501.99,3,Online,418.66,0,3,0
1509.33,11,ATM,438.82,0,2,0
207.14,22,POS,149.86,0,5,0
1805.2,21,Online,411.73,0,5,0
1011.0,20,Online,77.13,1,3,1
1653.09,19,Online,167.1,0,0,0
640.78,14,ATM,258.98,0,2,0
1791.15,22,Online,113.22,0,4,1
779.01,15,ATM,289.63,0,3,0
22.66,4,ATM,289.35,0,2,0
1810.86,20,POS,103.45,0,0,0
183.48,14,POS,397.82,0,4,0
639.31,16,Online,315.82,0,4,0
1900.17,17,Online,158.88,0,0,0
1901.26,4,POS,116.09,0,2,0
1147.3,12,ATM,439.38,0,1,0
1264.04,18,ATM,417.87,1,2,1
897.44,12,POS,114.88,0,3,0
587.13,17,ATM,17.8,0,3,0
658.0,13,POS,402.27,0,2,0
1345.36,3,POS,307.75,0,5,0
1505.0,3,Online,50.44,0,3,1
1583.37,19,Online,293.68,0,1,0
1579.45,19,POS,226.09,0,5,1
183.32,18,Online,387.28,0,1,0
989.35,12,POS,104.54,1,4,0
116.06,11,ATM,226.58,0,3,0
1099.51,6,ATM,78.12,0,5,0
883.62,11,ATM,478.76,0,2,0
1775.52,20,ATM,389.37,0,5,0
702.48,3,POS,368.36,0,4,0
235.02,1,ATM,345.1,1,1,1
286.84,1,ATM,211.67,0,4,0
1523.26,4,ATM,461.64,0,0,0
1236.82,22,ATM,36.46,0,3,0
203.14,9,POS,401.63,0,2,0
169.13,9,ATM,107.62,0,1,0
1402.24,8,Online,162.01,0,4,0
146.45,12,Online,259.71,0,2,0
1643.9,6,Online,391.33,0,3,0
1412.78,4,Online,419.27,0,2,0
163.62,9,Online,291.87,0,3,0
170.59,9,Online,201.52,0,3,0
1973.29,5,POS,473.25,0,3,0
749.17,18,Online,123.26,1,4,1
741.91,20,ATM,401.55,0,3,0
1625.79,7,Online,306.02,0,2,1
1894.55,0,POS,188.45,0,0,1
1972.02,16,Online,0.68,0,2,0
1507.0,6,ATM,223.3,0,4,1
753.14,13,ATM,138.36,0,3,1
167.92,20,POS,52.17,0,0,0
1554.52,20,POS,37.58,0,4,1
1117.25,16,POS,173.78,1,1,1
849.02,8,POS,307.38,0,1,0
1812.8,16,Online,418.76,0,1,1
223.28,4,Online,91.78,0,0,0
985.76,19,ATM,212.32,0,2,0
23.7,7,POS,195.98,0,0,0
937.85,5,POS,256.7,0,0,0
113.55,10,Online,404.79,0,0,0
238.52,18,POS,276.82,0,1,0
235.93,3,ATM,423.33,0,5,0
1298.77,17,ATM,259.28,0,2,0
1492.34,0,POS,301.92,0,5,1
1167.15,12,ATM,218.69,0,5,1
1924.38,13,ATM,411.55,1,0,0
750.37,23,Online,461.91,0,2,0
572.14,0,ATM,319.57,0,5,0
1737.33,10,POS,410.39,0,3,0
447.97,16,POS,29.5,0,0,0
1926.48,3,ATM,453.06,0,0,0
25.3,11,POS,94.46,0,0,0
1939.79,9,Online,128.26,0,3,1
87.28,5,ATM,26.67,0,3,1
1782.4,0,ATM,482.7,0,1,1
1055.87,6,ATM,426.01,0,4,0
1985.94,20,POS,456.59,0,2,0
148.52,15,POS,423.61,0,4,0
1108.15,23,ATM,239.77,0,0,0
1938.64,13,POS,462.04,0,5,1
1046.67,22,POS,484.74,0,0,0
1259.17,19,ATM,251.28,0,5,0
1391.8,19,ATM,87.81,0,1,0
909.63,5,POS,329.31,0,4,0
1255.49,21,ATM,487.72,0,0,0
1169.04,4,ATM,436.07,1,4,1
1802.41,23,ATM,430.91,0,1,0
91.85,20,ATM,466.91,0,4,0
562.65,17,POS,446.98,0,5,1
1900.87,14,ATM,388.14,0,2,0
1780.64,5,Online,359.14,0,1,0
911.86,18,ATM,132.38,0,4,0
1240.65,0,Online,310.67,0,0,0
555.48,0,ATM,260.74,0,3,1
377.05,12,Online,430.97,0,3,1
927.93,2,Online,245.86,0,1,0
707.35,9,ATM,63.87,0,3,0
1167.73,20,ATM,2.49,0,2,0
156.39,2,ATM,338.94,0,1,0
1948.82,8,Online,274.95,0,0,0
1972.44,7,POS,165.48,0,0,0
1396.63,2,POS,84.49,0,1,0
1072.66,12,ATM,233.36,0,3,0
619.75,5,POS,50.14,0,3,0
1627.78,12,POS,168.05,0,0,0
1369.78,22,ATM,189.61,0,2,0
326.07,19,Online,232.81,0,5,0
1821.94,19,ATM,233.31,1,3,1
1645.25,11,POS,128.5,0,2,0
1899.65,12,Online,425.11,0,3,0
1451.71,1,POS,177.77,0,5,0
1227.22,20,Online,114.79,0,1,0
837.07,23,POS,87.9,0,4,0
1865.52,22,ATM,161.29,0,0,0
1732.26,15,POS,33.78,0,1,0
91.39,22,POS,16.45,0,3,0
53.71,5,Online,302.57,0,5,0
753.55,18,POS,309.57,0,0,0
1621.3,20,ATM,264.79,0,4,0
1974.56,12,ATM,381.14,0,4,0
301.68,16,ATM,19.58,0,5,0
1188.67,22,Online,467.99,0,5,0
762.4,8,Online,47.53,0,3,0
1939.86,16,POS,337.01,0,0,0
1684.4,1,POS,66.7,0,3,1
1676.82,18,POS,439.95,0,4,1
937.92,18,Online,255.36,0,1,0
830.22,23,Online,41.15,0,1,0
547.54,6,POS,308.36,0,2,0
113.69,21,Online,4.55,0,4,0
1729.58,9,Online,388.01,0,4,0
1625.99,9,ATM,325.29,0,3,0
1999.44,19,ATM,106.31,0,2,0
1993.28,8,POS,187.38,0,5,0
1111.31,16,POS,3.9,0,2,0
1538.21,14,ATM,346.84,0,0,0
1889.59,1,Online,161.33,0,3,1
1699.45,3,POS,285.79,0,5,0
495.45,18,POS,478.36,0,5,0
901.64,16,POS,149.73,0,1,0
259.19,4,Online,495.12,0,0,0
1908.15,6,ATM,316.36,0,2,0
1212.74,17,POS,121.04,0,1,0
458.06,20,ATM,218.39,0,4,1
1343.73,21,ATM,370.23,0,3,0
1236.64,6,Online,223.24,0,2,0
716.97,16,Online,34.25,0,4,1
228.0,6,Online,84.3,0,5,1
1343.47,3,Online,395.65,0,2,0
1041.1,7,Online,324.19,1,1,1
1544.86,12,Online,284.91,0,0,1
1040.81,3,POS,83.81,0,1,0
1704.51,5,ATM,418.88,0,3,0
1104.26,4,Online,480.37,0,3,0
1122.32,11,POS,20.44,0,2,0
1753.43,3,ATM,39.02,0,1,0
807.56,23,Online,442.36,0,0,0
268.9,8,Online,407.78,0,5,1
58.54,3,POS,308.97,1,3,1
1510.52,18,ATM,472.48,0,0,1
1241.0,23,Online,323.22,0,4,0
1408.46,13,ATM,107.99,0,2,0
426.72,4,POS,364.32,0,0,0
273.61,17,Online,322.86,0,2,0
30.07,9,ATM,492.87,0,4,0
701.82,18,POS,106.95,0,0,0
1180.25,11,POS,298.94,0,0,0
785.1,17,Online,390.08,0,5,0
875.51,16,ATM,169.49,0,4,0
1808.41,23,Online,189.84,1,1,1
697.16,10,Online,443.95,0,0,0
1028.46,2,ATM,202.1,0,5,0
1567.52,22,ATM,312.37,0,0,1
793.69,16,ATM,444.62,0,5,0
1244.55,0,POS,104.91,0,3,0
1724.87,14,POS,490.94,0,1,0
1899.09,8,ATM,350.98,0,0,1
295.0,14,POS,248.06,0,4,0
1853.25,23,Online,215.46,0,2,0
984.74,2,ATM,477.18,0,4,0
517.23,21,Online,102.86,0,1,0
918.81,18,ATM,155.84,0,3,1
1960.09,12,Online,153.9,0,3,0
985.74,11,ATM,144.5,0,3,0
658.17,19,Online,234.27,0,5,0
1267.17,0,ATM,494.59,0,4,0
481.05,20,ATM,444.39,0,2,0
152.65,16,POS,163.97,0,2,0
258.63,12,Online,211.44,0,5,0
256.96,0,POS,334.74,0,0,0
304.65,9,Online,8.58,0,5,0
278.52,14,POS,410.08,0,2,0
1282.11,6,ATM,439.9,1,2,0
364.58,21,POS,428.6,0,0,0
691.99,17,POS,187.53,0,4,1
1793.68,15,ATM,231.0,0,4,0
948.45,13,POS,6.19,0,1,0
1335.45,17,ATM,199.7,0,4,0
345.47,6,Online,230.21,0,3,0
385.39,16,POS,453.49,0,3,0
82.7,17,ATM,446.99,0,1,0
338.7,11,ATM,483.05,0,2,0
557.9,7,POS,442.55,0,1,0
354.84,21,Online,4.1,0,0,0
178.32,1,POS,320.73,0,1,0
242.15,6,ATM,34.12,0,1,0
922.1,3,Online,136.3,1,5,1
413.46,17,POS,289.15,0,3,1
729.18,5,ATM,350.31,0,0,0
1007.33,8,POS,327.32,0,5,0
1381.1,8,Online,24.53,0,0,0
79.58,13,Online,51.8,0,1,0
1599.02,7,Online,64.29,0,5,0
1256.17,18,Online,45.71,0,5,0
164.44,2,Online,89.12,0,0,0
1747.28,17,POS,344.24,0,0,0
1841.82,4,Online,415.42,0,4,0
123.09,13,Online,204.41,0,0,0
554.48,3,ATM,346.39,0,5,0
1612.6,6,Online,100.01,0,2,0
1496.77,19,ATM,486.64,0,0,0
369.86,11,ATM,175.0,0,3,0
419.49,1,ATM,422.93,0,4,0
741.57,10,POS,472.68,0,3,0
969.56,13,POS,432.36,0,3,1
1236.89,21,ATM,33.53,0,2,0
738.46,22,POS,325.15,0,4,0
925.61,15,Online,60.05,0,1,0
1495.19,19,POS,2.83,0,5,0
74.33,5,Online,25.89,0,5,0
505.62,22,Online,458.07,0,0,0
1426.99,3,POS,454.23,0,5,1
1790.52,14,POS,112.91,0,2,0
1023.84,23,ATM,273.53,0,5,0
1064.69,0,POS,477.51,0,2,1
215.24,6,POS,248.35,0,1,0
895.38,11,POS,196.79,0,2,0
1065.7,9,Online,241.62,0,1,0
485.7,4,Online,395.11,0,1,0
539.22,11,Online,238.64,0,1,0
755.19,17,ATM,391.64,0,2,0
41.12,9,ATM,215.85,0,1,0
644.84,5,ATM,126.0,0,2,0
423.68,11,Online,163.24,0,4,0
655.67,6,POS,38.91,0,1,0
240.4,17,ATM,248.69,0,2,0
1781.16,1,ATM,74.06,0,2,0
1187.59,9,Online,405.77,0,2,0
1358.53,14,ATM,210.3,0,0,0
1578.55,11,POS,382.5,0,0,0
997.39,16,Online,477.23,0,1,1
174.75,3,Online,424.74,0,5,0
1074.68,6,POS,475.73,0,4,0
1174.1,8,POS,283.97,0,5,0
1491.13,18,POS,82.66,0,1,0
863.89,22,ATM,467.7,0,3,1
256.03,6,POS,434.25,0,3,1
568.27,22,Online,432.21,0,4,0
726.8,1,POS,346.64,0,4,0
1292.19,5,Online,312.46,0,4,0
1141.99,17,Online,7.36,0,0,0
712.84,5,ATM,374.03,0,0,0
1973.04,12,POS,45.77,0,3,0
1211.94,18,ATM,129.88,0,4,0
475.22,1,POS,275.75,0,2,0
204.46,11,POS,225.87,0,5,1
306.57,14,POS,7.89,0,3,0
492.67,13,POS,411.99,0,4,0
322.2,5,POS,439.4,0,2,0
373.95,17,Online,340.94,0,4,0
570.91,4,Online,270.53,0,1,0
347.57,17,POS,480.37,0,2,0
1793.63,2,Online,59.98,0,5,1
161.39,2,ATM,368.96,0,1,0
1049.5,21,ATM,64.18,0,0,0
821.38,21,ATM,190.92,0,3,1
1964.77,9,POS,292.74,0,4,0
224.97,18,POS,368.54,0,3,1
796.31,2,Online,1.86,0,5,1
1938.97,11,Online,130.3,0,4,1
1731.15,15,Online,269.1,0,1,0
1634.33,16,ATM,266.44,1,2,0
516.55,6,ATM,318.81,0,2,0
342.6,12,ATM,151.93,0,4,0
1337.62,23,ATM,270.26,0,1,0
1858.82,1,Online,94.89,0,4,1
1113.97,3,POS,93.44,0,4,0
1143.65,9,POS,288.28,0,4,1
560.68,6,ATM,342.74,0,2,0
1539.22,23,POS,60.2,0,5,0
374.9,16,POS,61.39,0,4,0
648.03,19,POS,282.65,0,2,0
851.45,5,ATM,135.05,0,0,0
1015.71,18,Online,196.2,0,1,0
485.58,4,Online,200.37,0,0,0
230.56,9,POS,89.28,0,4,1
1221.63,8,Online,0.66,0,2,0
577.97,12,Online,426.58,0,1,0
1162.9,18,ATM,357.5,1,3,1
309.57,20,ATM,345.27,0,1,1
962.8,23,POS,273.25,0,1,0
